english,current_telugu
general surgery including laparascopic surgery,లాపరోస్కోపిక్ శస్త్రచికిత్సతో సహా సాధారణ శస్త్రచికిత్స
general surgery including laparoscopic,లాపరోస్కోపిక్ సహా జనరల్ శస్త్రచికిత్స
general surgery including laparoscopic & bariatric surgery,లాపరోస్కోపిక్ & బారియాట్రిక్ శస్త్రచికిత్సతో సహా సాధారణ శస్త్రచికిత్స
general surgery including laparoscopic & minimal access surgery,లాపరోస్కోపిక్ మరియు కనీసపు యాక్సెస్ శస్త్రచికిత్సతో సహా జనరల్ సర్జరీ
general surgery including laparoscopic & minimal invasive surgery,లాపరోస్కోపిక్ & కనిష్ట ఇన్వాసివ్ సర్జరీతో సహా సాధారణ శస్త్రచికిత్స
general surgery including laparoscopic & podiatric surgeru,లాపరోస్కోపిక్ & పాడియాట్రిక్ సర్జరీతో సహా జనరల్ సర్జరీ
general surgery including laparoscopic & vascular,లాపరోస్కోపిక్ & వాస్కులర్తో సహా సాధారణ శస్త్రచికిత్స
general surgery including laparoscopic & vascular surgery,లాపరోస్కోపిక్ మరియు వాస్కులర్ సర్జరీతో సహా జనరల్ సర్జరీ
general surgery including laparoscopic and bariatric surgery,లాపరోస్కోపిక్ మరియు బారియాట్రిక్ శస్త్రచికిత్సతో సహా సాధారణ శస్త్రచికిత్స
general surgery including laparoscopic and minimal surgery,లాపరోస్కోపిక్ మరియు కనిష్ట శస్త్రచికిత్సతో సహా సాధారణ శస్త్రచికిత్స
general surgery including laparoscopic and paediatric surgery,లాపరోస్కోపిక్ మరియు పీడియాట్రిక్ శస్త్రచికిత్సతో సహా జనరల్ శస్త్రచికిత్స
general surgery including laparoscopic and podiatric surgery,లాపరోస్కోపిక్ మరియు పోడియాట్రిక్ శస్త్రచికిత్స తో   సహా సాధారణ శస్త్రచికిత్స
general surgery including laparoscopic surgery,లాపరోస్కోపిక్ శస్త్రచికిత్సతో సహా సాధారణ శస్త్రచికిత్స
general surgery including laparoscopic surgery & surgical oncology,లాపరోస్కోపిక్ సర్జరీ & సర్జికల్ ఆంకాలజీతో సహా సాధారణ శస్త్రచికిత్స విభాగము 
general surgery including laparoscopic surgery & urology,లాపరోస్కోపిక్ సర్జరీతో సహా జనరల్ శస్త్రచికిత్స
general surgery including laparoscopic surgery and burns,లాపరోస్కోపిక్ శస్త్రచికిత్స మరియు బర్న్స్ సహా జనరల్ శస్త్రచికిత్స
general surgery including laparoscopic surgery including dialysis,డయాలసిస్‌తో సహా లాపరోస్కోపిక్ సర్జరీతో సహా సాధారణ శస్త్రచికిత్స విభాగము 
general surgery including laparoscopic surgery.,లాపరోస్కోపిక్ శస్త్రచికిత్సతో సహా జనరల్ శస్త్రచికిత్స.
general surgery including laparoscopicc and vascular surgery,లాపరోస్కోపిక్ మరియు వాస్కులర్ సర్జరీతో సహా సాధారణ శస్త్రచికిత్స విభాగము 
general surgery including laparoscopicsurgery,లాపరోస్కోప్సోక్స్యూరేతో సహా జనరల్ శస్త్రచికిత్స
general surgery including laparoscopy,లాడరోస్కోపీతో సహా సాధారణ శస్త్రచికిత్స
general surgery including laproscopic surgery,లాప్రోస్కోపిక్ శస్త్రచికిత్సతో సహా జనరల్ సర్జరీ
general surgery including minimal access and bariatric surgery,కనీస ప్రాప్యత మరియు బారియాట్రిక్ శస్త్రచికిత్సతో సహా సాధారణ శస్త్రచికిత్స
general surgery including minimal access surgery,కనీస ప్రాప్యత శస్త్రచికిత్సతో సహా సాధారణ శస్త్రచికిత్స
general surgery including minimal access surgery and bariatric surgery,కనీసపు యాక్సెస్ శస్త్రచికిత్స మరియు బారియాట్రిక్ శస్త్రచికిత్సతో జనరల్ శస్త్రచికిత్స
general surgery including minimal access surgery and gi surgery,కనీస ప్రాప్యత శస్త్రచికిత్స మరియు (GI)జిఐ శస్త్రచికిత్సతో సహా సాధారణ శస్త్రచికిత్స
general surgery including minimal accesses and laparoscopic surgery,కనీస ప్రాప్తి మరియు లాపరోస్కోపిక్ శస్త్రచికిత్సతో సహా సాధారణ శస్త్రచికిత్స
general surgery including minimal invasive & bariatric surgery,కనీస ఇన్వాసివ్ & బారియాట్రిక్ శస్త్రచికిత్సతో సహా సాధారణ శస్త్రచికిత్స
general surgery including minimal invasive surgery,సాధారణ శస్త్రచికిత్సతో సహా తక్కువ శస్త్రచికిత్స
general surgery including minimally,కనిష్టంగా సహా సాధారణ శస్త్రచికిత్స
general surgery including minimally invasive surgery,కనీసపు శస్త్రచికిత్సతో సహా సాధారణ శస్త్రచికిత్స
general surgery including onco surgery,ఒంకో శస్త్రచికిత్సతో సహా సాధారణ శస్త్రచికిత్స
general surgery including onco-surgery,ఒంకో-శస్త్రచికిత్సతో సహా సాధారణ శస్త్రచికిత్స
general surgery including surgical gastroenterology,శస్త్రచికిత్స గ్యాస్ట్రోఎంటరాలజీతో సహా సాధారణ శస్త్రచికిత్స
general surgery including surgical oncology,శస్త్రచికిత్స ఆంకాలజీతో సహా సాధారణ శస్త్రచికిత్స
general surgery including vascular surgery,వాస్కులర్ సర్జరీతో సహా సాధారణ శస్త్రచికిత్స
general surgery pharmacy,జనరల్ సర్జరీ ఫార్మసీ
general surgery with laparoscopic surgery,లాపరోస్కోపిక్ శస్త్రచికిత్సతో సాధారణ శస్త్రచికిత్స
general surgery with laproscopic surgery,లాపరోస్కోపిక్ శస్త్రచికిత్సతో జనరల్ సర్జరీ
genereal surgery ( part time with regular opd),జనరల్ సర్జరీ (రెగ్యులర్ OPD తో పార్ట్ టైమ్)
genetic lab,జన్యు ప్రయోగశాల
genetics,జెనెటిక్స్(జన్యువుల అధ్యయనం) 
genetics - biochemical genetics / cytogenetics molecular genetics / hla genetics,జన్యుశాస్త్రం - జీవరసాయన జన్యుశాస్త్రం / సైటోజెనెటిక్స్ పరమాణు జన్యుశాస్త్రం / hla జన్యుశాస్త్రం
genetics ( outsourced),జన్యుశాస్త్రం (అవుట్సోర్స్డ్ ) విభాగము 
genetics counselling,జన్యుశాస్త్రము గురించి  సలహా ఇచ్చుట
genito urinary surgery,జన్యు మూత్ర శస్త్రచికిత్స 
genreal surgery including laparoscopic surgery,లాపరోస్కోపిక్ శస్త్రచికిత్సతో సహా జనరల్ శస్త్రచికిత్స
gerenal refractive services,జనరల్ రిఫ్రాక్టివ్ సర్వీసెస్
geriatics,గెరియాటిక్స్ (వృద్థుల ఆరోగ్యానికి సంబంధించిన) విభాగము 
geriatric,గెరియాట్రిక్(వృద్ధాప్య)
geriatric medicine,వృద్ధాప్య వైద్యుము 
geriatric psychiatry,వృద్ధుల మనోరోగచికిత్స
geriatrics,గెరియాటిక్స్ (వృద్థుల సంబంధించిన) విభాగము 
geriatrics medicine,వృద్ధాప్య వైద్య చికిత్స
getwel clinic,గెట్వెల్ క్లినిక్ 
gg hospital (a unit of paragon hospital kerala pvt. ltd.),GG హాస్పిటల్ (పారగన్ హాస్పిటల్ కేరళ ప్రెవేట్ యొక్క యూనిట్. Ltd.
ghai hospital,ఘై ఆసుపత్రి
ghatikia,ఘటికియా 
ghaziabad,ఘజియాబాద్
ghuma,ఘుమా
gi surgery,జిఐ(GI) శస్త్రచికిత్స
gi surggery,జిఐ (gi) శస్త్రచికిత్స
ginni orthopaedic centre,గిన్ని ఆర్థోపెడిక్ సెంటర్
girgaon,Girgaon.
giridhar eye institute,గిరిధర్ ఐ ఇన్స్టిట్యూట్
glaucoma,గ్లాకోమా
glaucoma care,గ్లాకోమా రక్షణ
glaucoma clinic,గ్లాకోమా క్లినిక్
glaucoma evaluation,గ్లాకోమా మూల్యాంకనం
glaucoma evaluation & surgical services,గ్లాకోమా మూల్యాంకనం & సర్జికల్ సేవలు
glaucoma medical and microsurgical services,గ్లాకోమా మెడికల్ అండ్ మైక్రోసాజికల్ సర్వీసెస్
glaucoma service,గ్లాకోమా సేవ
glaucoma services,గ్లాకోమా(నీరుకాసులకు సంబంధించిన) సేవలు  
gleneagles global health city,గ్లెనెగల్స్ గ్లోబల్ హెల్త్ సిటీ
gleneagles global hospitals,గ్లెనగిల్స్ గ్లోబల్ హాస్పిటల్స్
"global heart & general hospital, chitrakoot","గ్లోబల్ హార్ట్ & జనరల్ హాస్పిటల్, చిత్రకూట్ "
global heart and super specialty hospital,గ్లోబల్ హార్ట్ మరియు సూపర్ స్పెషాలిటీ హాస్పిటల్
global hospital - superspeciality & transplant centre,గ్లోబల్ హాస్పిటల్ - సూపర్స్పికాలిటీ & ట్రాన్స్ప్లాంట్ సెంటర్
global hospital (a unit of sood hospital pvt. ltd.),గ్లోబల్ హాస్పిటల్ (SOOD హాస్పిటల్ PVT యొక్క యూనిట్ Ltd.)
global hospital & research institute,గ్లోబల్ హాస్పిటల్ & రీసెర్చ్ ఇన్స్టిట్యూట్
global specialty hospital,గ్లోబల్ స్పెషాలిటీ ఆసుపత్రి 
globus hospital for joint replacement(a unit of hospital infotech pvt. ltd.),జాయింట్ ప్రత్యామ్నాయం కోసం గ్లోబస్ హాస్పిటల్ (ఒక యూనిట్ ఆఫ్ హాస్పిటల్ ఇన్ఫోటెక్ ప్రెవేట్. Ltd.
glucoma,గ్లాకోమా
gneral medicine,సాధారణ ఔషధం
"gnrc institute of medical science, north","GNRC ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్స్, నార్త్ "
goa,గోవా 
godrej memorial hospital,గోద్రేజ్ మెమోరియల్ ఆసుపత్రి 
goetal medicine,గోటల్ వైద్యము 
gole bazar,గోల్ మార్కెట్
golekhana,సరిదిద్దండి
gollapudi,గొల్లపూడి
gomti nagar,గోమతి నగర్ 
gomti nagara,గోమతి టౌన్
gomtinagar,గోమ్టినాగర్
gonioscopy,గోన్నోపా
gopalpura bye pass,గోపాల్పురా బై పాస్
goraguntepalya,Gorougeelpalya.
gorwa,గోర్వా
goverdhan-chatikara bypass,గోవర్ధన్-చత్తర్ బైపాస్
government (cl & sc) spine institute and physiotherapy college,ప్రభుత్వ (సిఎల్ & ఎస్సీ) వెన్నెముక ఇన్స్టిట్యూట్ మరియు ఫిజియోథెరపీ కళాశాల
government. hospital,ప్రభుత్వ ఆసుపత్రి
govindapuram,గోవిందపురం
govt. women & children's hospital,ప్రభుత్వం ఉమెన్ & చిల్డ్రన్స్ ఆసుపత్రి 
goyal hospital & research centre,గోయల్ హాస్పిటల్ & రీసెర్చ్ సెంటర్
"goyal hospital & urology centre, krishna nagar","గోయల్ ఆసుపత్రి  & యూరాలజీ కేంద్రం , కృష్ణ నగర్"
greater kailash,గ్రేటర్ కైలాష్
greater kailash hospital pvt ltd,గ్రేటర్ కైలాష్ హాస్పిటల్ ప్రైవేట్ లిమిటెడ్
greater kailash-2,గ్రేటర్ కైలాష్ -2
greater noida,గ్రేటర్ నోయిడా 
grecian super speciality,గ్రీసియన్ సూపర్ స్పెషాలిటీ
green avenue,గ్రీన్ అవెన్యూ
"green belt, gandhi nagar","గ్రీన్ బెల్ట్, గాంధీ నగర్ "
"green belt, gandhi nagar, jammu  180004  and kashmir","గ్రీన్ బెల్ట్, గాంధీ నగర్, జమ్మూ 180004 మరియు కాశ్మీర్ "
green city hospital,గ్రీన్ సిటీ హాస్పిటల్
green laser,గ్రీన్ లేజర్
green laser - pattern,గ్రీన్ లేజర్ - సరళి
green laser/ yag laser unit,గ్రీన్ లేజర్ / యాజ్ లేజర్ యూనిట్
grewal eye institute pvt. ltd,గ్రేవాల్ ఐ ఇన్స్టిట్యూట్ PVT. Ltd.
"ground floor, plot no 7g, opp. graphite india whitefield, bengaluru -560048, karnataka","గ్రౌండ్ ఫ్లోర్, ప్లాట్ నం 7జి, ఎదురుగా. గ్రాఫైట్ ఇండియా వైట్‌ఫీల్డ్, బెంగళూరు -560048, కర్ణాటక"
gt road,GT రోడ్
"gt. road, putlighar,  amritsar  143001, punjab","Gt. రోడ్, పుట్లిఘర్, అమృత్సర్ 143001, పంజాబ్ "
guardian multispeciality hospital,గార్డియన్ మల్టీసిపాలిటీ హాస్పిటల్
gujarat,గుజరాత్ 
gujral nagar,గుజరల్ నగర్
guntur,గుంటూరు 
gupta hospital,గుప్తా హాస్పిటల్
gurdaspur,గురుదాస్పూర్
gurgaon,గుర్గాన్ 
guru nanak care hospital,గురు నానక్ సంరక్షణ ఆసుపత్రి
guru nanak mission chowk,గురు నానక్ మిషన్ చౌక్
guru teg bahadur nagar,గురు టెగ్ బహదూర్ నగర్
"gurukul road, memnagar, ahmedabad - 380052, gujarat","గురుకుల్ రోడ్, మెంనగర్, అహ్మదాబాద్ - 380052, గుజరాత్ "
"guthikonda gopal rao street, near benz circle, krishna, vijayawada  520010, andhra pradesh","బెంజ్ సర్కిల్, కృష్ణ, విజయవాడ 520010, ఆంధ్రప్రదేశ్ సమీపంలో గోతికొండు గోపాల్ రావు స్ట్రీట్ "
guwahati,గౌహతి
gwalior,గ్వాలియర్ 
gynae including ive,Ive సహా gynae
gynae-endoscopy and fetal medicine,గైనాయి-ఎండోస్కోపీ మరియు ఫెటల్ మెడిసిన్
gynaecogy,Gynacogy.
gynaecological oncology,గైనకాలజీ ఆంకాలజీ విభాగము 
gynaecology,గైనకాలజీ  విభాగము 
gynaecology ( only opd),గైనకాలజీ (OPD (ఓపిడి)  మాత్రమే)
gynaecology (opd),గైనకాలజీ (ఓపీడీ) విభాగము 
gynaecology & obsietrics,గైనకాలజీ & అబ్లిసియమ్స్
gynaecology & obstetrics,గైనకాలజీ & ప్రసూతి విభాగము 
gynaecology and obstetrics,గైనకాలజీ మరియు  ప్రసూతి విభాగము 
gynaecology including highrisk cases,అధిక ప్రమాద కేసులతో సహా గైనకాలజీ
gynaecology surgeries,గైనకాలజీ శస్త్రచికిత్సలు
gynecological oncology,గైనకాలజీ ఆంకాలజీ విభాగము (స్త్రీ జననేంద్రియ వ్యవస్థ యొక్క క్యాన్సర్లపై అధ్యయనం)
gynecology,గైనకాలజీ విభాగము 
gynecology (only opd),గైనకాలజీ (OPD మాత్రమే)
gynecology (only),గైనకాలజీ (మాత్రమే)
gynecology & obstetrics,గైనకాలజీ & ప్రసూతి విభాగము 
gynecology opd only,గైనకాలజీ Opd మాత్రమే
"h.no 3050, sector20d, chandigarh  160020, punjab","H.NO 3050, సెక్టార్ 20D, చండీగఢ్ 160020, పంజాబ్ "
"h.no. 61236, opp kuda office, beside ashoka hotel lane, hanamakonda, warangal  506001, telangana","H.no. అశోక హోటల్ లేన్, హనమకొండ, వరంగల్ 506001, తెలంగాన పక్కన 61236, Opp Kuda కార్యాలయం "
hadapsar,హడప్సర్
haemaodialysis,హేమోడయాలసిస్ విభాగము 
haemato  oncology,వీరనాళాల శాస్త్రము
haemato oncology & bmt (op & day care),రక్తం ఆంకాలజీ & BMT (OP & డే కేర్)
haematogy,హేమాటోజీ విభాగము 
haematology,హేమాటాలజీ (రక్త పరీక్షలు) విభాగము 
haematology &  paediatric hematology,హెమటోలజి & పీడియాట్రిక్ హెమటోలజీ విభాగము 
haematology & coagulation,హెమటాలజీ &కగ్యులేషన్( గడ్డకట్టడం)
haematology ei,హెమోటాలజీ నం
haematology i,హెమటాలజీవిభాగము 
haematopathology,రక్తము మద్యపానం
haermatology,హేమాటాలజీ (రక్త పరీక్షలు) విభాగము 
hajela hospital,హజిలా హాస్పిటల్
haldwani (nanital),హల్ద్వాని (నైనిటాల్)
halter monitoring,హోల్టర్ పర్యవేక్షణ
hanamkonda,హనమ్కొండ.
hand and neck surgery,చేతి మరియు మెడ శస్త్రచికిత్స
hand surgery,చేతి శస్త్రచికిత్స
handsurgery,చేతి శస్త్రచికిత్స
hapur road,హపూర్ రోడ్
harda,ఎక్కడ
haribhakti colony,హరిబక్తి కాలనీ
haridwar,హరిద్వార్
"harish chander mathur lane dispensary, janpath","హరీష్ చందర్ మాథుర్ లేన్ డిస్పెన్సరీ, జనపథ్"
harish hospital pvt.ltd.,హరిష్ హాస్పిటల్ pvt.ltd.
harkere,హర్కేరే
"harni warasiya ring road, warasiya, vadodara  390006, gujarat","హర్ని వాయసీయా రింగ్ రోడ్, వదసియా, వడోదర 390006, గుజరాత్ "
hartej hospital,హర్తేజ్ ఆసుపత్రి 
haryana,హర్యానా 
haryana multispeciality hospital,హర్యానా మల్టీసిపాలిటీ హాస్పిటల్
hashimpur road,హషింపూర్ రోడ్
hasthampatti,హస్తంపాట్టి
haveli,హవేలి
hayath nagar,అల్లాత్ నగర్
hazaribag road,హజారీబాగ్ రోడ్ 
hbt,Hbt.
hcg cancer centre,HCG క్యాన్సర్ సెంటర్
hcg hospitals,HCG హాస్పిటల్స్
hcg hospitals (a unit of health care global enterprises limited),HCG(ఎచ్సిజి) ఆసుపత్రులు (హెల్త్ కేర్ గ్లోబల్ ఎంటర్ప్రైజెస్ లిమిటెడ్ యొక్క యూనిట్)
hcg manavata cancer centre,హెచ్‌సిజి మానవాట క్యాన్సర్ కేంద్రం 
hcg nchri cancer centre (a unit of hcg nchri oncology llp),HCG NCHRI క్యాన్సర్ సెంటర్ (HCG NCHRI ONCOLOGY LLP యొక్క యూనిట్)
hcg pinnacle cancer centre (a unit of hcg pinnacle oncology pvt ltd.,HCG పిన్నకిల్ క్యాన్సర్ సెంటర్ (HCG పిన్నకిల్ ఆంకాలజీ ప్రైవేట్ లిమిటెడ్ యొక్క యూనిట్.
hcmct manipal hospitals,HCMCT మణిపాల్ హాస్పిటల్స్
"hco 7275, sector 17, thanesar  136 118, haryana","హక్ 7275, సెక్టార్ 17, తనేసర్ 136 118, హర్యానా "
hdr brachy therapy,hdr(ఎచ్డిఆర్)  బ్రాచి చికిత్స
head up tilt test (hutt),హెడ్ అప్ టిల్ట్ పరీక్ష(హాట్)
headache clinic,తలనొప్పి క్లినిక్
healing touch super specialty hospital (a unit of blue heavens health care pvt. ltd.),హీలింగ్ టచ్ సూపర్ స్పెషాలిటీ హాస్పిటల్ (నీలం స్వర్గాల ఆరోగ్య సంరక్షణ Pvt. Ltd.)
health care global,ప్రపంచ ఆరోగ్య సంరక్షణ
"health city, chinagadili","LTH TY, చినాగా "
health hospitals,ఆరోగ్య ఆసుపత్రులు
healthcare global enterprises limited,హెల్త్కేర్ గ్లోబల్ ఎంటర్ప్రైజెస్ లిమిటెడ్
"healthcity, chinnagadili","హెల్త్కిటీ, ఛానల్ "
healthpark medical center,హెల్త్పార్క్ మెడికల్ సెంటర్  
healthsure multispeciality hospital,ఆరోగ్యకరమైన మల్టీసిపాలిటీ హాస్పిటల్
heart & general hospital,హార్ట్ & జనరల్ ఆసుపత్రి 
hebbal,హెబ్బల్ 
hemato oncology,హేమాటో ఆంకాలజీ విభాగము 
hemato-oncology,హేమాటో-ఆంకాలజీ
hemato-pathology,హేమాటో-పాథాలజీ
hematology,హేమాటాలజీ (రక్త పరీక్షలు) విభాగము 
hematology and bone marrow transplant,హెమటాలజీ మరియు ఎముక మజ్జ మార్పిడి
hematologyh,హెమాలాజి
hematooncology,"హేమాటోన్కాలజీ (రక్తము, క్యాన్సర్ అధ్యయనం)"
hematopathology,హేమాటోపథాలజీ
hemkunt colony,హెమ్కుంట్ కాలనీ 
hepaato pancreatic biliary surgery,బిల్లేరీ సర్జికల్ పిత్తాశయం
hepato biliary surgery,హెపో యొక్క పిత్తాశయం సర్జరీ
hepato pancreatic biliary surgery,ఎలెప్టో ప్యాంక్రియాటిక్ పిత్తాశయ శస్త్రచికిత్స
hepato pancreato biliary surgery,హెపాటో ప్యాంక్రియాటో పిత్తసయ శస్త్రచికిత్స
hepato pancreato billiary  surgery,ఎలెప్టా క్లోనటోడస్ బిలియని సర్జరీ
hepato pancreato-biliary surgery,ఎలెప్టో క్లోనటోడరీ & పిత్తాశయం సర్జరీ
hepato-pancreato biliary surgery,హెపాటో-ప్యాంక్రియాటో పిత్తశయ  శస్త్రచికిత్స
hepato-pancreato-biliary,హెపాటో-ప్యాంక్రియాటో-పిత్తాశయం
hepato-pancreato-biliary surgery,హెపాటో-ప్యాంక్రియాటో-పిత్తశయ  శస్త్రచికిత్స
hepatology,"హెపటాలజీ(కాలేయం, పిత్తాశయం వ్యాధుల అధ్యయనం) విభాగము "
hepatology including paediatric hepatology,పీడియాట్రిక్ హెపటాలజీతో సహా హెపటాలజీ విభాగము 
hepatologypancreatobiliary,హెపటోలజీపాంక్రియాటోబిలియరీ
hepatopancreatobiliary surgery,హెపటోపాంక్రియాటోబిలియరీ శస్త్రచికిత్స
hess charting,హెస్ చార్టింగ్
high dependency unit,అధిక డిపెండెన్సీ యూనిట్
"high risk obstetrics oncology (medical, surgical, gastro, gynaecological, head & neck, neuro & ortho, radiation)","అధిక ప్రమాదము గల ప్రసూతి, ఆంకాలజీ (వైద్య, శస్త్రచికిత్స, గ్యాస్ట్రో, స్త్రీ జననేంద్రియ, తల & మెడ, న్యూరో & ఆర్థో, రేడియేషన్) విభాగము "
"highstreet cum highland corporate centre , kapurbawdi junction , thane  400607, maharashtra","హైల్యాండ్ కార్పొరేట్ సెంటర్, కప్య్వర్వది జంక్షన్ తో హైస్ట్రీట్, థానే 400607, మహారాష్ట్ర "
"hill side avenue, hiranandani gardens, powai, mumbai  400076","హిల్ సైడ్ అవెన్యూ, హిరానందని గార్డెన్స్, పొవై, ముంబై 400076"
himachal pradesh,హిమాచల్ ప్రదేశ్ 
himalayan hospital ( a constituent unit of swami rama himalayan university),హిమాలయన్ హాస్పిటల్ (స్వామి రామ హిమాలయన్ విశ్వవిద్యాలయం యొక్క ఒక విభాగం)
himayath nagar,హిమాయత్ నగర్
hindu mission hospital,హిందూ మిషన్ ఆసుపత్రి
hiranandani hospital (a fortis associate hospital),హిరానందాని ఆసుపత్రి  (ఒక ఫోర్టిస్ అసోసియేట్ ఆసుపత్రి)
hisar,కోట
histopathology,హిస్టోపాథాలజీ (కణజాలాల వ్యాధి నిర్దారణ ) విభాగము 
histopathology ( outsourced),హిస్టోపాథాలజీ (అవుట్సోర్స్డ్) విభాగము 
histopathology (outsourced),హిస్టోపాథాలజీ (అవుట్సోర్స్)విభాగము 
histopathology including renal pathology,మూత్రపిండ పాథాలజీ(వ్యాధి నిర్దారణ)తో సహా హిస్టోపాథాలజీ  విభాగము 
hitech city,హైటెక్ సిటీ
hodal,Hodal.
holter,హొల్టేర్ 
holter monitoring,హొల్టేర్ పర్యవేక్షణ
holter monitoring (outsourced),హోల్టర్ పర్యవేక్షణ (అవుట్సోర్స్డ్)
holter monitoring i,హోల్టర్ పర్యవేక్షణ 
holter monturing,హోల్టర్ పర్యవేక్షణ
holy family hospital,హోలీ ఫ్యామిలీ ఆసుపత్రి 
"holy family hospital, new delhi","హోలీ ఫ్యామిలీ ఆసుపత్రి , న్యూ ఢిల్లీ "
holy spirit hospital,హోలీ స్పిరిట్ ఆసుపత్రి 
home care cancer and preventive oncology pain clinic,హోమ్ కేర్ క్యాన్సర్ మరియు ప్రివెంటివ్ ఆంకాలజీ పెయిన్ క్లినిక్
hopato-pancreato-biliary surgery,హోపాటో-ప్యాంక్రియాటో-పిత్తశయ శస్త్రచికిత్స విభాగము 
hope hospital,ఆశిస్తున్నాము ఆసుపత్రి
hope international hospital,హోప్ ఇంటర్నేషనల్ హాస్పిటల్
hormone studies,హార్మోన్ అధ్యయనాలు
hoshangabad,హోషంగాబాద్
hoshiarpur,Hoshiarpur.
hosmat hospital,హోస్మత్ ఆసుపత్రి 
"hospital building, vijayant khand, gomti nagar, faizabad road, lucknow  226010, uttar pradesh","హాస్పిటల్ బిల్డింగ్, విజయన్ట్ విభాగం, గోమ్తి నగర్, ఫైజాబాద్ రోడ్, లక్నో 226010, ఉత్తర ప్రదేశ్ "
hospital for mental health,మానసిక ఆరోగ్యం కోసం హాస్పిటల్
"hospital site no. 1&2, sector 44c, chandigarh- 160047","హాస్పిటల్ సైట్ నం. 1 & 2, సెక్టార్ 44c, చండీగఢ్- 160047 "
hosur,హోసూర్
hosur road,హోసూర్ రోడ్
house keeping,హౌస్ కీపింగ్
hsr layout,హెచ్ఎస్ఆర్ లేఅవుట్ 
huda sec-20,హుడా SEC-20
huda sector 11,హుడా సెక్టార్ 11.
hujur,లార్డ్
human resources,మానవ వనరులు
humpathery field analyser,హంఫ్రీ ఫీల్డ్ విశ్లేషణ
hyderabad,హైదరాబాద్ 
hyderguda,హైదరాబాద్
hydernagar,హైదర్ నగర్
hydle road,క్యాలెండర్ రోడ్
hydrotherapy,హైడ్రోథెరపీ(నీటి చికిత్స)విభాగము 
hyperlipidemia,హైపర్లిపిడెమియా
hypertension,రక్తపోటు
"i.t.i. road infront on interstate bus terminal, deendayal chowk, jabalpur  482002","I.t.i. రోడ్ ఇన్ఫ్రంట్ ఆన్ ఇంటర్స్టేట్ బస్ టెర్మినల్, డెండాయల్ చౌక్, జబల్పూర్ 482002 "
"iccu, micu","ICCU, MICU. "
icg,ICG.
icp ( intra cranial pressure) monitor,ICP (ఇంట్రా కపాల ఒత్తిడి) మానిటర్
icu (intensive care unit),ICU (ఇంటెన్సివ్ కేర్ యూనిట్)
icu & critical care hs,క్లిష్టమైన సంరక్షణ HS
ida scudder road,ఇడా స్కడర్ రోడ్
idgah hills,Idgah హిల్స్
ils hospitals dumdum unit of gpt healthcare pvt. ltd.,GPT హెల్త్కేర్ Pvt యొక్క ILS హాస్పిటల్స్ Dumdum యూనిట్. Ltd.
image guided procedures,చిత్రం మార్గనిర్దేశం విధానాలు
immunization,వ్యాధినిరోధకత
immuno haematology,ఇమ్యునో హెమటాలజీ విభాగము 
immuno hematology,ఇమ్యునో హెమటాలజీ
immuno-haematology,ఇమ్యునో-హెమటాలజీ విభాగము 
immuno-hematology,ఇమ్యునో-హెమటాలజీ విభాగము 
immuno-hepatology immunology medical gastroenterology,ఇమ్యునో-హెపటాలజీ ఇమ్యునాలజీ మెడికల్ గ్యాస్ట్రోఎంటరాలజీ విభాగము 
immunoassay,ఇమ్మ్యూనోఅస్సై 
immunohaematology,ఇమ్యునోహేమాటాలజీ విభాగము 
immunohistochemistry,ఇమ్యునోహిస్టోకెమిస్ట్రీ
immunology,ఇమ్మ్యూనోలోజి (వ్యాధి నిరోథక) విభాగము 
implantable contact lens,ఇంప్లాంట్ కాంటాక్ట్ లెన్స్
ims and sum hospital,IMS(ఐఎంఎస్) మరియు SUM(ఎస్యుఎం) హాస్పిటల్
imt manesar,ఇటుక మనేసర్
in vitro fertilization,కృత్రిమ గర్భధారణ
in-vitro fertilization,కృత్రిమ గర్భధారణ
in-vitro fertilization (ivf),ఇన్-విట్రో ఫెర్టిలైజేషన్ (ivf)
"including joint replacement,  arthroscopic & spine surgery","ఉమ్మడి భర్తీ, ఆర్త్రోస్కోపిక్ & వెన్నెముక శస్త్రచికిత్సతో సహా "
including pancreatic and liver transplant,ప్యాంక్రియాటిక్ మరియు కాలేయ మార్పిడితో సహా
india,భారతదేశం
india kidney hospital & dialysis centre,భారతదేశం కిడ్నీ హాస్పిటల్ & డయాలిసిస్ సెంటర్
indian spinal injuries centre,భారతీయ వెన్నెముక గాయాల కేంద్రం
"indiana hospital & heart institute pvt ltd.,","ఇండియానా హాస్పిటల్ & హార్ట్ ఇన్స్టిట్యూట్ PVT లిమిటెడ్, "
"indira gandhi road, puthiyara p.o calleut  673004, kerala","ఇందిరా గాంధీ రోడ్, పుతియారా పి.ఓ  కాల్యూట్ 673004, కేరళ"
indira nagar,ఇందిరా నగర్
indirect ophthalmoscopy,పరోక్ష కనుపాప
indo us superspeciality hospital,ఇండో US Superspeciality హాస్పిటల్
indore,ఇండోర్
indra vihar colony,ఇంద్ర విహార్ కాలనీ
"indra vihar colony, near singar choli, airport road, bhopal  462031, madhya pradesh","ఇంద్ర విహార్ కాలనీ, సింగర్ చోలి, విమానాశ్రయం రోడ్, భోపాల్ 462031, మధ్యప్రదేశ్ "
indrapuri,ఇంద్రపురి
