SN,tel,eng,names,finalised
346,కారిటాస్ హాస్పిటల్.,Caritas హాస్పిటల్,కారిటాస్ హాస్పిటల్,కారిటాస్ హాస్పిటల్.
347,గ్రేటర్ కైలాష్ హాస్పిటల్ ప్రైవేట్ లిమిటెడ్,Greater Kailash హాస్పిటల్ ప్రైవేట్ లిమిటెడ్ ,గ్రేటర్ కైలాష్ హాస్పిటల్ పీప్ట్ ల్టీడ్,గ్రేటర్ కైలాష్ హాస్పిటల్ ప్రైవేట్ లిమిటెడ్
348,జైలు ఆసుపత్రి,Pranaam హాస్పిటల్,ప్రాణం హాస్పిటల్,ప్రనామ్ ఆసుపత్రి
349,మెడిట్రినా ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్,Meditrina Institute of Medical Sciences,మెడిటేరిన ఇన్స్టిట్యూట్ అఫ్ మెడికల్ సైన్సెస్,మెడిట్రినా ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్
350,నారిందర్ మోహన్ హాస్పిటల్ అండ్ హార్ట్ సెంటర్,Narinder Mohan హాస్పిటల్ అండ్ Heart Centre,నారిందర్ మోహన్ హాస్పిటల్ అండ్ హార్ట్ సెంటర్,నారిందర్ మోహన్ హాస్పిటల్ అండ్ హార్ట్ సెంటర్
351,చిల్-హాస్పిటల్స్,CHL-హాస్పిటల్స్,CHL-హాస్పిటల్స్,CHL-హాస్పిటల్స్
352,కైలాష్ హాస్పిటల్స్ లిమిటెడ్,Kailash హాస్పిటల్స్ లిమిటెడ్ .,కైలాష్ హాస్పిటల్స్ లిమిటెడ్ .,కైలాష్ హాస్పిటల్స్ లిమిటెడ్
353,మద్రాస్ మెడికల్ మిషన్ హాస్పిటల్,The Madras Medical Mission హాస్పిటల్,ది మద్రాస్ మెడికల్ మిషన్ హాస్పిటల్,మద్రాస్ మెడికల్ మిషన్ హాస్పిటల్
354,గ్లోబల్ స్పెషాలిటీ హాస్పిటల్,Global Specialty హాస్పిటల్,గ్లోబల్ స్పెషాలిటీ హాస్పిటల్,గ్లోబల్ స్పెషాలిటీ హాస్పిటల్
355,ఫోర్టిస్ హాస్పిటల్,Fortis హాస్పిటల్,ఫోర్టిస్ హాస్పిటల్,ఫోర్టిస్ హాస్పిటల్
356,సన్షైన్ గ్లోబల్ హాస్పిటల్స్,Sunshine Global హాస్పిటల్స్,సన్షైన్ గ్లోబల్ హాస్పిటల్స్,సన్షైన్ గ్లోబల్ హాస్పిటల్స్
357,ఎలైట్ మిషన్ హాస్పిటల్,Elite Mission హాస్పిటల్,ఎలైట్ మిషన్ హాస్పిటల్,ఎలైట్ మిషన్ హాస్పిటల్
358,మహాత్మా గాంధీ క్యాన్సర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,Mahatma Gandhi Cancer హాస్పిటల్ అండ్ Research Centre,మహాత్మా గాంధీ కాన్సర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,మహాత్మా గాంధీ క్యాన్సర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్
359,"నారాయణ మల్టిస్పెసియాటీ హాస్పిటల్, సెక్టార్ -3, వ్యతిరేక HSR క్లబ్, HSR లేఅవుట్ ","Narayana Multispecialty హాస్పిటల్, Sector-3, Opposite HSR Club, HSR Layout","నారాయణ ముల్టీస్పెషలిటీ హాస్పిటల్, Sector-3, ఒప్పొసితె హెస్ర్ Club, హెస్ర్ లేఔట్","నారాయణ మల్టిస్పెసియాటీ హాస్పిటల్, సెక్టార్ -3, అపోజిట్ HSR క్లబ్, HSR లేఅవుట్ "
360,డామన్ వరల్డ్ హాస్పిటల్.,Sakra World హాస్పిటల్,సక్ర వరల్డ్ హాస్పిటల్,సక్ర వరల్డ్ హాస్పిటల్
361,వక్హార్డ్ట్  హాస్పిటల్ లిమిటెడ్ - యూనిట్ ఆడమ్స్ వైలీ మెమోరియల్,వక్హార్డ్ట్  హాస్పిటల్ లిమిటెడ్ . - Unit Adams Wylie Memorial,వక్ఖర్ట్ హాస్పిటల్ లిమిటెడ్ . - యూనిట్ ఆడమ్స్ Wylie మెమోరియల్,వక్హార్డ్ట్  హాస్పిటల్ లిమిటెడ్ - యూనిట్ ఆడమ్స్ వైలీ మెమోరియల్
362,రెయిన్బో ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్ ప్రైవేట్. లిమిటెడ్ .,Rainbow Institute of Medical Sciences ప్రైవేట్. లిమిటెడ్ .,రెయిన్బో ఇన్స్టిట్యూట్ అఫ్ మెడికల్ సైన్సెస్ ప్రైవేట్. లిమిటెడ్ .,రెయిన్బో ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్సెస్ ప్రైవేట్. లిమిటెడ్ .
363,జేపీ హాస్పిటల్,Jaypee హాస్పిటల్,జెపీ హాస్పిటల్,జేపీ హాస్పిటల్
364,కృష్ణ షల్బీ హాస్పిటల్,Krishna Shalby హాస్పిటల్,కృష్ణ షాల్బ్య హాస్పిటల్,కృష్ణ షల్బీ హాస్పిటల్
365,బ్రహ్మానంద నారాయణ మల్టీస్లిటీ హాస్పిటల్,Brahmananda Naryana Multispeciaity Hospita,బ్రహ్మానంద నారాయణ ముల్టీస్పెసీఐటీ హాస్పిట,బ్రహ్మానంద నారాయణ మల్టీస్లిటీ హాస్పిటల్
366,కలకత్తా మెడికల్ రీసెర్చ్ ఇన్స్టిట్యూట్,The Calcutta Medical Research Institute,ది కలకత్తా మెడికల్ రీసెర్చ్ ఇన్స్టిట్యూట్,కలకత్తా మెడికల్ రీసెర్చ్ ఇన్స్టిట్యూట్
367,"మివాన్స్, న్యురోస్కిసియన్స్ హాస్పిటల్ ","MIMHANS, Neurosciences హాస్పిటల్","MIMHANS,న్యూరోసైంసెస్ హాస్పిటల్","MIMHANS, న్యురోసైంసెస్ హాస్పిటల్ "
368,ఆసుపత్రిలో ప్రేమ,Amar హాస్పిటల్,అమర్ హాస్పిటల్,అమర్ హాస్పిటల్
369,శ్రీ కారా హాస్పిటల్.,Sri Kara హాస్పిటల్,శ్రీ కార హాస్పిటల్,శ్రీ కార హాస్పిటల్
370,నైస్ వీక్షణ క్లినిక్,Belle Vue Clinic,బెల్లె వుయి క్లినిక్,బెల్లె వుయి క్లినిక్
371,Yatharth వెల్నెస్ హాస్పిటల్ అండ్ ట్రామా సెంటర్,Yatharth Wellness హాస్పిటల్ అండ్ Trauma Centre,యాథార్త్ వెల్నెస్ హాస్పిటల్ అండ్ ట్రామా సెంటర్,యాథార్త్ వెల్నెస్ హాస్పిటల్ అండ్ ట్రామా సెంటర్
372,క్వీన్స్ ఎన్నారై ఆసుపత్రి,Queens NRI హాస్పిటల్,క్వీన్స్ న్రి హాస్పిటల్,క్వీన్స్ ఎన్నారై ఆసుపత్రి
373,Dm wims హాస్పిటల్,DM WIMS హాస్పిటల్,టీమ్ విమ్స్ హాస్పిటల్,DM WIMS హాస్పిటల్
374,మెడిపెల్స్ ఆసుపత్రి,Medipulse హాస్పిటల్,మేడిపుల్స్ హాస్పిటల్,మెడిపల్స్ ఆసుపత్రి
375,"శ్రీ బాలాజీ మెడికల్ హాస్పిటల్స్ (సాహుడాయ బాలాజీ హెల్త్ కేర్ యొక్క ఒక యూనిట్. లిమిటెడ్ .), సాంగేడీ ","Shree Balaji మెడికవర్ హాస్పిటల్స్ (A Unit of Sahrudaya Balaji Health Care ప్రైవేట్. లిమిటెడ్ .), Sangareddy","శ్రీ బాలాజీ మెడికోవే హాస్పిటల్స్ (యూనిట్ అఫ్ సహృదయ బాలాజీ హెల్త్ కేర్ ప్రైవేట్. లిమిటెడ్ .), సంగారెడ్డి","శ్రీ బాలాజీ మెడికవర్ హాస్పిటల్స్ (యూనిట్ అఫ్ సహృదయ బాలాజీ హెల్త్ కేర్ ప్రైవేట్. లిమిటెడ్ .), సంగారెడ్డి"
376,పెస్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్స్ అండ్ రీసెర్చ్ హాస్పిటల్,PES Institute of Medical Science అండ్ Research హాస్పిటల్,పేస్ ఇన్స్టిట్యూట్ అఫ్ మెడికల్ సైన్స్ అండ్ రీసెర్చ్ హాస్పిటల్,పెస్ ఇన్స్టిట్యూట్ ఆఫ్ మెడికల్ సైన్స్ అండ్ రీసెర్చ్ హాస్పిటల్
377,పార్క్ ఆసుపత్రి,Park హాస్పిటల్,పార్క్ హాస్పిటల్,పార్క్ ఆసుపత్రి
378,నికోస్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,Nikos హాస్పిటల్ అండ్ Research Centre,నికోస్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,నికోస్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్
379,ఆర్థోపెడిక్ అండ్ పునరావాస కోసం సాంచెట్ ఇన్స్టిట్యూట్,Sancheti Institute for Orthopaedic and Rehabilitation,సాంకేతి ఇన్స్టిట్యూట్ ఫర్ ఆర్థోపెడిక్ అండ్ రీహాబిలిటేషన్,సాంకేతి ఇన్స్టిట్యూట్ ఫర్ ఆర్థోపెడిక్ అండ్ రీహాబిలిటేషన్
380,"దయానంద మెడికల్ కాలేజ్ అండ్ హాస్పిటల్, టాగోర్ నగర్ ","Dayanand Medical College అండ్ హాస్పిటల్, Tagore Nagar","దయానంద్ మెడికల్ కాలేజీ అండ్ హాస్పిటల్, టాగోర్ నగర్","దయానంద మెడికల్ కాలేజ్ అండ్ హాస్పిటల్, టాగోర్ నగర్ "
381,నారాయణ హుడాయలయ సర్జికల్ ప్రైవేట్ లిమిటెడ్,Narayana Hrudalaya Surgical ప్రైవేట్ లిమిటెడ్ ,నారాయణ హృదళాయ సర్జికల్ పీప్ట్ ల్టీడ్,నారాయణ హృదయాలయ సర్జికల్ పీప్ట్ ల్టీడ్
382,S.r. కోల్డ్ మెమోరియల్ గ్యాస్టేజన్ అండ్ జనరల్ హాస్పిటల్,S.R. Kalla Memorial Gastro అండ్ General హాస్పిటల్,S.R. కాళ్ళ మెమోరియల్ గ్యాస్ట్రో అండ్ జనరల్ హాస్పిటల్,S.R. కల్లా మెమోరియల్ గ్యాస్ట్రో అండ్ జనరల్ హాస్పిటల్
383,పార్క్ ఆసుపత్రి,Park హాస్పిటల్,పార్క్ హాస్పిటల్,పార్క్ ఆసుపత్రి
384,ఇన్స్టిట్యూట్ ఆఫ్ న్యూరోస్సియన్స్,Institute of Neurosciences,ఇన్స్టిట్యూట్ అఫ్న్యూరోసైంసెస్,ఇన్స్టిట్యూట్ ఆఫ్ న్యూరోసైంసెస్
385,సిగ్నస్ superspeciality ఆస్పత్రి,సిగ్నస్ Superspeciality హాస్పిటల్,సైగ్నుస్ సూపర్ స్పెషలిటీ హాస్పిటల్,సిగ్నస్ సూపర్స్పెషలిటీ హాస్పిటల్
386,లాలా హర్ భగవాన్ డా అండ్ డాక్టర్ ప్రేమ్ హాస్పిటల్,Lala Harbhagwan Dass అండ్ Dr. Prem హాస్పిటల్,లాల హర్భగవాన్ దాస్ అండ్ Dr. ప్రేమ్ హాస్పిటల్,లాలా హర్ భగవాన్ డా అండ్ డాక్టర్ ప్రేమ్ హాస్పిటల్
387,అమ్రి హాస్పిటల్స్,AMRI హాస్పిటల్స్,మరి హాస్పిటల్స్,అమ్రి (AMRI) హాస్పిటల్స్
388,మెట్రో మాస్ హార్ట్ కేర్ అండ్ మల్టీస్పిసియా హాస్పిటల్,Metro MAS Heart Care అండ్ Multispecialty హాస్పిటల్,మెట్రో మాస హార్ట్ కేర్ అండ్ ముల్టీస్పెషలిటీ హాస్పిటల్,మెట్రో MAS హార్ట్ కేర్ అండ్ ముల్టీస్పెషలిటీ హాస్పిటల్
389,మెడికేర్,Samved Medicare,సామవేద మెడికేర్,సామవేద మెడికేర్
390,మెహతా హాస్పిటల్స్ ప్రైవేట్.లిమిటెడ్ .,Mehta హాస్పిటల్స్ ప్రైవేట్.లిమిటెడ్ .,మెహతా హాస్పిటల్స్ ప్రైవేట్.లిమిటెడ్ .,మెహతా హాస్పిటల్స్ ప్రైవేట్.లిమిటెడ్ .
391,మాక్స్ మల్టీస్టిసిలిటీ హాస్పిటల్,Max Multispeciality హాస్పిటల్,మాక్స్ ముల్టీస్ప్రెసిలిటీ హాస్పిటల్,మాక్స్ మల్టీ స్పెషలిటీ హాస్పిటల్
392,శాంతెవిత హాస్పిటల్,Santevita హాస్పిటల్,సంటేవిటి హాస్పిటల్,శాంటేవిటా హాస్పిటల్
393,శాంతి ముకుండ్ హాస్పిటల్,Shanti Mukund హాస్పిటల్,శాంతి ముకుంద్ హాస్పిటల్,శాంతి ముకుండ్ హాస్పిటల్
394,తల్లి భ్రమలు దేవత హాస్పిటల్,Mata Chanan Devi హాస్పిటల్,మాతా చనం దేవి హాస్పిటల్,మాత చనం దేవి హాస్పిటల్
395,జవహర్లాల్ నెహ్రూ క్యాన్సర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,Jawaharlal Nehru Cancer హాస్పిటల్ అండ్ Research Centre,జవహర్లాల్ నెహ్రు కాన్సర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,జవహర్లాల్ నెహ్రూ క్యాన్సర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్
396,MP బిర్లా హాస్పిట్రేల్ అండ్ ప్రియామ్వాడ బిర్లా క్యాన్సర్ రీసెర్చ్ ఇన్స్టిట్యూట్,MP Birla Hospirtal అండ్ Priyamvada Birla Cancer Research Institute,ఎంపీ బిర్లా హోస్పిర్తల్ అండ్ ప్రియంవద బిర్లా కాన్సర్ రీసెర్చ్ ఇన్స్టిట్యూట్,ఎంపీ బిర్లా హోస్పిర్తల్ అండ్ ప్రియంవద బిర్లా కాన్సర్ రీసెర్చ్ ఇన్స్టిట్యూట్
397,సెయింట్ ఫిల్మునా హాస్పిటల్,St. Philomenaâs హాస్పిటల్,St. Philomenaâs హాస్పిటల్,సెయింట్ ఫిల్మునా హాస్పిటల్
398,Rungta ఆసుపత్రి,Rungta హాస్పిటల్,రుంగ్తా హాస్పిటల్,రుంగ్తా హాస్పిటల్
399,భక్తివిడంత హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్,Bhaktivedanta హాస్పిటల్ and Research Institute,భక్తివేదాంత హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్,భక్తివిడంత హాస్పిటల్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్
400,"ఇండియానా హాస్పిటల్ అండ్ హార్ట్ ఇన్స్టిట్యూట్ ప్రైవేట్ లిమిటెడ్, ","ఇండియాna హాస్పిటల్ అండ్ Heart Institute ప్రైవేట్ లిమిటెడ్ ., ","ఇండియానా హాస్పిటల్ అండ్ హార్ట్ ఇన్స్టిట్యూట్ పీప్ట్ లిమిటెడ్ .,","ఇండియానా హాస్పిటల్ అండ్ హార్ట్ ఇన్స్టిట్యూట్ ప్రైవేట్ లిమిటెడ్, "
401,ముల్జిభాయ్ పటేల్ యురోలాజికల్ హాస్పిటల్,Muljibhai Patel Urological హాస్పిటల్,ముళ్జిభిః పటేల్ యూరోలాజికల్ హాస్పిటల్,ముల్జిభాయ్ పటేల్ యురోలాజికల్ హాస్పిటల్
402,మిట్టల్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,Mittal హాస్పిటల్ and Research Centre,మిట్టల్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,మిట్టల్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్
403,మెట్రోమెడ్ ఇంటర్నేషనల్ కార్డియాక్ సెంటర్ ప్రైవేట్. లిమిటెడ్ .,Metromed International Cardiac Centre ప్రైవేట్. లిమిటెడ్ .,మెట్రోమీద ఇంటర్నేషనల్ కార్డియాక్ సెంటర్ ప్రైవేట్. లిమిటెడ్ .,మెట్రోమెడ్ ఇంటర్నేషనల్ కార్డియాక్ సెంటర్ ప్రైవేట్. లిమిటెడ్ .
404,రాజగిరి ఆసుపత్రి,Rajagiri హాస్పిటల్,రాజగిరి హాస్పిటల్,రాజగిరి ఆసుపత్రి
405,"ఫెలిక్స్ హాస్పిటల్, సెక్టార్ -137, నోయిడా ఎక్స్టెన్షన్ ","Felix హాస్పిటల్, Sector-137, Noida Extension","ఫెలిక్స్ హాస్పిటల్, Sector-137, నోయిడా ఎక్స్టెన్షన్","ఫెలిక్స్ హాస్పిటల్, సెక్టార్ -137, నోయిడా ఎక్స్టెన్షన్ "
406,పారాస్ హమారి ఆసుపత్రి,Paras HMRI హాస్పిటల్,పరస్ హ్మ్రి హాస్పిటల్,పారాస్ హమారి ఆసుపత్రి
407,సెంచరీ సూపర్ స్పెషాలిటీ హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .,Century Super Speciality హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .,సెంచరీ సూపర్ స్పెషలిటీ హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .,సెంచరీ సూపర్ స్పెషాలిటీ హాస్పిటల్స్ ప్రైవేట్. లిమిటెడ్ .
408,పవనా హాస్పిటల్,Pawana హాస్పిటల్,పవన హాస్పిటల్,పవనా హాస్పిటల్
409,భరద్వాజ్ ఆసుపత్రి,Bhardwaj హాస్పిటల్,భరద్వాజ్ హాస్పిటల్,భరద్వాజ్ ఆసుపత్రి
410,"శ్రీ సత్య సాయి ఇన్స్టిట్యూట్ ఆఫ్ హయ్యర్ మెడికల్ సైన్సెస్, అనంత్పూర్ ","Sri Sathya Sai institute Of Higher Medical Sciences, Ananthpur","శ్రీ సత్య సాయి ఇన్స్టిట్యూట్ అఫ్ హయ్యర్ మెడికల్ Sciences, అనంతపూర్","శ్రీ సత్య సాయి ఇన్స్టిట్యూట్ ఆఫ్ హయ్యర్ మెడికల్ సైన్సెస్, అనంత్పూర్ "
411,జోషి సూపర్స్పెసిలిటీ అండ్ మల్టీసిపాలిటీ హాస్పిటల్,Joshi Superspeciality అండ్ Multispeciality హాస్పిటల్,జోషి సూపర్ స్పెషలిటీ అండ్ ముల్టీస్పెషలిటీ హాస్పిటల్,జోషి సూపర్స్పెసిలిటీ అండ్ మల్టీసిపాలిటీ హాస్పిటల్
412,ఏడవ రోజు అడ్వెంటిస్ట్ హాస్పిటల్ యొక్క మెటాస్,METAS of Seventh Day Adventist హాస్పిటల్,మేటాస్ అఫ్ సెవెంత్ డే అడ్వెంటిస్ట్ హాస్పిటల్,మేటాస్ అఫ్ సెవెంత్ డే అడ్వెంటిస్ట్ హాస్పిటల్
413,"కృష్ణ హాస్పిటల్ అండ్ మెడికల్ రీసెర్చ్ సెంటర్, కరాడ్ ","Krishna హాస్పిటల్ అండ్ Medical Research Centre, Karad","కృష్ణ హాస్పిటల్ అండ్ మెడికల్ రీసెర్చ్ Centre, కార్డ్","కృష్ణ హాస్పిటల్ అండ్ మెడికల్ రీసెర్చ్ సెంటర్, కరాడ్ "
414,SMRC V.M. సాల్గోకార్ హాస్పిటల్,SMRC's V.M. Salgaocar హాస్పిటల్,SMRC's V.M. సల్గాఒక హాస్పిటల్,SMRC V.M. సాల్గోకార్ హాస్పిటల్
415,"సైఫీ హాస్పిటల్, మహర్షి కార్వే ","Saifee హాస్పిటల్, Maharishi Karve Marg","సైఫీ హాస్పిటల్, మహర్షి కార్వే మార్గ్","సైఫీ హాస్పిటల్, మహర్షి కార్వే "
416,ఎటర్నల్ హార్ట్ కేర్ సెంటర్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్ ప్రైవేట్.లిమిటెడ్ .,Eternal Heart Care Centre అండ్ Research Institute ప్రైవేట్.లిమిటెడ్ .,ఎటర్నల్ హార్ట్ కేర్ సెంటర్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్ ప్రైవేట్.లిమిటెడ్ .,ఎటర్నల్ హార్ట్ కేర్ సెంటర్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్ ప్రైవేట్.లిమిటెడ్ .
417,"నారాయణ మల్టీస్లిసిటీ హాస్పిటల్, వైట్ఫీల్డ్ ","Narayana Multispeciality హాస్పిటల్, Whitefield","నారాయణ ముల్టీస్పెషలిటీ హాస్పిటల్, విటపీల్డ్","నారాయణ మల్టీస్లిసిటీ హాస్పిటల్, వైట్ఫీల్డ్ "
418,శివమ్ మల్టీసిపెర్స్పెసిలిటీ హాస్పిటల్,Shivam Multisuperspeciality హాస్పిటల్,శివమ్ ముల్తిసూపర్ స్పెషలిటీ హాస్పిటల్,శివమ్ మల్టీసిపెర్స్పెసిలిటీ హాస్పిటల్
419,అమినీప్ హాస్పిటల్,Amandeep హాస్పిటల్,అమన్దీప్ హాస్పిటల్,అమన్దీప్ హాస్పిటల్
420,జబల్పూర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,Jabalpur హాస్పిటల్ అండ్ Research Centre,జబల్పూర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,జబల్పూర్ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్
421,యునైటెడ్ Ciigma హాస్పిటల్,United CIIGMA హాస్పిటల్,యునైటెడ్ స్పీగ్మ హాస్పిటల్,యునైటెడ్ Ciigma హాస్పిటల్
422,ఐవీ హెల్త్కేర్ ఇన్ఫ్రాస్ట్రక్చర్ ప్రెవేట్. లిమిటెడ్ .,Ivy Healthcare Infrastructure ప్రైవేట్. లిమిటెడ్ .,ఐవీ హెల్త్ కేర్ ఇన్ఫ్రాస్ట్రక్చర్ ప్రైవేట్. లిమిటెడ్ .,ఐవీ హెల్త్కేర్ ఇన్ఫ్రాస్ట్రక్చర్ ప్రెవేట్. లిమిటెడ్ .
423,వక్హార్డ్ట్  ఆసుపత్రులు లిమిటెడ్,వక్హార్డ్ట్  హాస్పిటల్స్ లిమిటెడ్,వక్ఖర్ట్ హాస్పిటల్స్ లిమిటెడ్,వక్ఖర్ట్ హాస్పిటల్స్ లిమిటెడ్
424,జైడస్ హాస్పిటల్,జైడస్ హాస్పిటల్,జ్రిడ్యూస్ హాస్పిటల్,జైడస్ హాస్పిటల్
425,ప్రసాద్ హాస్పిటల్స్,Prasad హాస్పిటల్స్,ప్రసాద్ హాస్పిటల్స్,ప్రసాద్ హాస్పిటల్స్
426,స్వస్తియా హాస్పిటల్ మెడికల్ రీసెర్చ్ సెంటర్,Swasthya హాస్పిటల్ Medical Resaerch Centre,స్వాస్థ్య హాస్పిటల్ మెడికల్ రీసెర్చ్ సెంటర్,స్వాస్థ్య హాస్పిటల్ మెడికల్ రీసెర్చ్ సెంటర్
427,"ఆర్టెమిస్ హాస్పిటల్, ద్వారకా ","Artemis హాస్పిటల్, Dwarka","అర్తెమిస్ హాస్పిటల్, ద్వారకా","ఆర్టెమిస్ హాస్పిటల్, ద్వారకా "
428,విక్రమ్ హాస్పిటల్ (బెంగళూరు) ప్రెవేట్. లిమిటెడ్ .,Vikram హాస్పిటల్ (Bengaluru) ప్రైవేట్. లిమిటెడ్ .,విక్రమ్ హాస్పిటల్ (Bengaluru) ప్రైవేట్. లిమిటెడ్ .,విక్రమ్ హాస్పిటల్ (బెంగళూరు) ప్రెవేట్. లిమిటెడ్ .
429,మిషన్ ఆఫ్ మెర్సీ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,Mission of Mercy హాస్పిటల్ and Research Centre,మిషన్ అఫ్ మెర్సీ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్,మిషన్ ఆఫ్ మెర్సీ హాస్పిటల్ అండ్ రీసెర్చ్ సెంటర్
430,శాంతి పర్మానండ్ హాస్పిటల్,Sant Parmanand హాస్పిటల్,సంత్ పర్మనంద హాస్పిటల్,సంత్ పర్మనంద హాస్పిటల్
431,భరత్ హాస్పిటల్ అండ్ ఇన్స్టిట్యూట్ ఆఫ్ ఆంకాలజీ (ఎ యూనిట్ ఆఫ్ సదా సదా ట్యూమర్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్),Bharath హాస్పిటల్ and Institute of ఆంకాలజి (A Unit of Sada Sharada Tumor and Research Institute),భరత్ హాస్పిటల్ అండ్ ఇన్స్టిట్యూట్ అఫ్ ఒంచొలొగ్య్ (యూనిట్ అఫ్ సద శారదా ట్యూమర్ అండ్ రీసెర్చ్ Institute),భరత్ హాస్పిటల్ అండ్ ఇన్స్టిట్యూట్ ఆఫ్ ఆంకాలజీ (ఎ యూనిట్ ఆఫ్ సదా శారదా ట్యూమర్ అండ్ రీసెర్చ్ ఇన్స్టిట్యూట్)
432,ఓజోన్ హాస్పిటల్స్,Ozone హాస్పిటల్స్,ఓజోన్ హాస్పిటల్స్,ఓజోన్ హాస్పిటల్స్
433,హిందూ మిషన్ ఆసుపత్రి,Hindu Mission హాస్పిటల్,హిందూ మిషన్ హాస్పిటల్,హిందూ మిషన్ ఆసుపత్రి
434,అశ్విని సాహుకరి రుగ్నలయ సంక్షోధిన్ కేంద్రా నియా,Ashwini Sahakari Rugnalaya Sanshodhan Kendra NIY,అశ్విని సహకార రాజ్ఞలయ సంశోధన కేంద్ర నిక్,అశ్విని సాహుకరి రుగ్నలయ సంక్షోధిన్ కేంద్రా NIY
435,సూర్య గ్లోబల్ హాస్పిటల్స్,Surya Global హాస్పిటల్స్,సూర్య గ్లోబల్ హాస్పిటల్స్,సూర్య గ్లోబల్ హాస్పిటల్స్
436,సహ్యాద్రి నారాయణ మల్టీస్లిటీ హాస్పిటల్,Sahyadri Narayana Multispeciality హాస్పిటల్,సహ్యాద్రి నారాయణ ముల్టీస్పెషలిటీ హాస్పిటల్,సహ్యాద్రి నారాయణ ముల్టీస్పెషలిటీ హాస్పిటల్
437,"మణిపాల్ హాస్పిటల్, నార్త్ గోవా ","Manipal హాస్పిటల్, North Goa","మణిపాల్ హాస్పిటల్, నార్త్ గోవా","మణిపాల్ హాస్పిటల్, నార్త్ గోవా "
438,డాక్టర్ రమేష్ గుండె multispeciality ఆసుపత్రి,Dr Ramesh Cardiac Multispeciality హాస్పిటల్,డ్ర్ రమేష్ కార్డియాక్ ముల్టీస్పెషలిటీ హాస్పిటల్,Dr రమేష్ కార్డియాక్ ముల్టీస్పెషలిటీ హాస్పిటల్
439,మెటాంట సూపర్ స్పెషాలిటీ హాస్పిటల్,Medanta Super Speciality హాస్పిటల్,మేదాంత సూపర్ స్పెషలిటీ హాస్పిటల్,మేదాంత సూపర్ స్పెషలిటీ హాస్పిటల్
440,ఎర్నాకుళం మెడికల్ సెంటర్ (పి) లిమిటెడ్,Ernakulum Medical Centre (P) లిమిటెడ్ .,ఎర్నాకులం మెడికల్ సెంటర్ (P) లిమిటెడ్ .,ఎర్నాకుళం మెడికల్ సెంటర్ (పి) లిమిటెడ్
441,పునర్నిర్మాణ ఆర్థోపెడిక్స్ కేర్ కోసం వడోదర ఇన్స్టిట్యూట్,Vadodara Institute for Reconstructive Orthopaedics Care,వడోదర ఇన్స్టిట్యూట్ ఫర్ రికాన్స్ట్రుక్టీవ్ ఆర్థోపెడిక్స్ కేర్,వడోదర ఇన్స్టిట్యూట్ ఫర్ రికాన్స్ట్రుక్టీవ్ ఆర్థోపెడిక్స్ కేర్
442,కిండర్ విమెన్స్ హాస్పిటల్ అండ్ ఫెర్టిలిటీ సెంటర్ ప్రైవేట్ లిమిటెడ్,Kinder Womens హాస్పిటల్ and Fertility Centre Private లిమిటెడ్,కిండర్ ఉమెన్స్ హాస్పిటల్ అండ్ ఫెర్టిలిటీ సెంటర్ ప్రైవేట్ లిమిటెడ్,కిండర్ విమెన్స్ హాస్పిటల్ అండ్ ఫెర్టిలిటీ సెంటర్ ప్రైవేట్ లిమిటెడ్
